"GSEA_ID","Description","background","background_label","Gene","log2FC","rank","core_enrichment","background_pvalue","background_p.adjust","setSize","enrichmentScore","NES","GSEA_pvalue","GSEA_p.adjust","qvalue","leading_edge","matched_genes"
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","MFAP5",0.107891581285622,1415,FALSE,0.35668508021253,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","NUP50",0.102308172345665,1601,FALSE,0.0777670225285011,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","MAT1A",0.0857936833287587,2241,FALSE,0.388509756669924,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","POLR2J",0.0619200183110165,3468,FALSE,0.496617667525767,0.965425622265064,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","LZTFL1",0.0590396807971805,3669,FALSE,0.303037234464187,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","MAPK9",0.0464159019813399,4501,FALSE,0.384507431485545,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","PATJ",0.0357703180945013,5364,FALSE,0.637453916528395,0.980271327308636,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","ANKRD26",0.00966056528974713,7758,FALSE,0.850531150941536,0.993371139928155,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","GGACT",0.00826202774164009,7903,FALSE,0.89880270214098,0.99632022454381,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","EIF1AD",0.00267284601853657,8525,FALSE,0.950740921644705,0.996725389280917,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","WDPCP",0.000901760156988174,8736,FALSE,0.974762058993561,0.997726456533199,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","RPL5",0.000524615569865716,8770,FALSE,0.995334400881612,0.999644242513462,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","E2F3",-0.0126798104672825,11064,FALSE,0.861764535082998,0.993371139928155,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","RPS6",-0.0131570945215902,11154,FALSE,0.897819689634812,0.996166081042985,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","MTF2",-0.0167409984643507,11817,FALSE,0.759966054161066,0.988070096138049,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","OTOL1",-0.0189805555651063,12175,FALSE,0.164555741975285,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","CTSE",-0.0315678297695101,13705,FALSE,0.759915100613528,0.988070096138049,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","PLEK2",-0.0435500186153828,14727,FALSE,0.663929522044481,0.981791940588791,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","DRD4",-0.0680778658961227,16117,TRUE,0.258707705369372,0.961953958507263,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","WFDC2",-0.099157433282302,17072,TRUE,0.644934010399036,0.981334617669311,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
"Denervation_1_5x_down_everyn","Denervation_1_5x_down_everyn","CRPCvsHSPC","CRPC vs HSPC","SCGB1D2",-0.190480023732945,18023,TRUE,0.423517022727504,0.962613387123402,21,-0.234222585915346,-0.670896166128339,0.923076923076923,0.923076923076923,NA,"tags=14%, list=12%, signal=13%",21
